Site,Species,Worm,Deer,Dry.Year.gm2,Standard.exchange.P.20,Standard.Total.P.20,SoilN.20Pool,P.Exch.Conc  ,P.Total.Conc  ,SoilN,Height,Dry.mass.above,Survival,L.4.L,Arbuscules,Vesicles,Coil,DSE,DSE.binomial,All.Mycorhizae,Arb.Ves
BOBO,Actaea,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,7.1,0.07,0.75,0.421978619,5,0,7,0,0,12,1
BOBO,Actaea,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,5,0.1,0.75,0.382116098,5,1,6,0,0,11,0.92
BOBO,Actaea,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,4.6,0.48,0.75,0.292382087,5,0,5,0,0,10,1
BOBO,Actaea,1,1,2.164,0.731272295,0.838446788,,1.637593985,0.740356633,0.37,4.2,,0.75,,,,,,,,   
BOBO,Actaea,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,,0.35,1,0.348623413,,,,,,,   
BOBO,Actaea,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,20.5,0.77,1,0.369761371,15,12,15,0,0,30,0.71
BOBO,Actaea,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,4,0.27,1,0.29175046,,,,,,,   
BOBO,Actaea,1,0,1.944,0.363852557,0.984779483,2.212424911,0.818796993,1.067754908,0.55011499,5.5,0.44,1,0.308883079,4,1,3,1,1,7,0.88
BOBO,Actaea,0,1,0.012,1.815695601,0.427133269,0.238577892,0.562406015,0.712418647,0.56400492,4.3,0.12,1,0.32682773,,,,,,,   
BOBO,Actaea,0,1,0.012,1.815695601,0.427133269,0.238577892,0.562406015,0.712418647,0.56400492,7.5,0.33,1,0.26498626,,,,,,,   
BOBO,Actaea,0,1,0.012,1.815695601,0.427133269,0.238577892,0.562406015,0.712418647,0.56400492,13.5,1.12,1,0.282992821,4,2,8,1,1,12,0.86
BOBO,Actaea,0,1,0.012,1.815695601,0.427133269,0.238577892,0.562406015,0.712418647,0.56400492,5.5,1.83,1,0.33142822,14,6,9,0,0,23,0.79
BOBO,Actaea,0,0,,1.815695601,0.427133269,,,,,23,0.06,0.75,0.460437766,,,,,,,   
BOBO,Actaea,0,0,,1.815695601,0.427133269,,,,,5.4,0.1,0.75,0.429053856,,,,,,,   
BOBO,Actaea,0,0,,1.815695601,0.427133269,,,,, ,1.52,0.75,0.493685639,19,5,5,0,0,24,0.83
BOBO,Actaea,0,0,,1.815695601,0.427133269,,,,,5,,0.75,,,,,,,,   
RW,Actaea,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,3.7,0.09,1,0.32040865,35,37,13,0,0,48,0.56
RW,Actaea,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,16.5,0.27,1,0.35668444,21,21,21,0,0,42,0.67
RW,Actaea,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,15.7,0.64,1,0.506438792,0,1,8,0,0,8,0.89
RW,Actaea,1,1,0.644,0.232758621,0.648609779,,0.942857143,0.845124081,0.32,7.7,1.46,1,0.264236496,15,12,10,0,0,25,0.68
RW,Actaea,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,6.5,0.07,0.75,0.320050101,5,8,14,0,0,19,0.7
RW,Actaea,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,4.3,0.34,0.75,0.317901029,24,15,11,0,0,35,0.7
RW,Actaea,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,4.8,1.16,0.75,0.295622016,18,15,17,0,0,35,0.7
RW,Actaea,1,0,3.268,0.60017836,1.419822627,0.819073446,1.190977444,0.795359543,0.308668914,2,,0.75,,,,,,,,   
RW,Actaea,0,1,,,,,,,, ,0.08,0.75,0.18826233,0,0,10,2,1,10,1
